id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
5232,70406,70405,,0,2011-02-18
5233,24,30834,,0,2011-03-04
5234,351,339,,0,2011-03-04
5235,70441,61873,cash_and_stock,0,2010-09-01
5236,70443,70442,,0,2011-03-04
5237,70483,51845,stock,0,2009-07-01
5238,40972,70601,,0,2011-03-07
5239,63,3094,,0,2011-03-07
5240,12197,70606,,0,2011-03-07
5241,70609,70608,,0,2011-03-07
5243,70613,70612,,0,2011-03-08
5244,70615,70614,,0,2011-03-07
5245,65679,38417,cash,0,2009-12-03
5246,14008,70704,,0,2011-03-08
5249,17274,17738,,0,2011-03-09
5250,70821,23019,,0,2011-03-09
5251,16570,70870,stock,2500000,2011-03-10
5252,2226,70975,,0,2011-03-11
5253,28417,70976,,0,2011-03-11
5254,37826,70994,,0,2011-03-14
5255,1612,71062,,0,2011-03-10
5256,71,71083,,0,2011-03-14
5257,1790,51929,,0,2011-03-14
5258,53889,71126,,265000000,2011-03-14
5259,32611,25585,,0,2011-03-14
5260,8583,15916,,0,2011-03-14
5261,71147,71146,,0,2011-03-14
5262,15457,63239,,0,2011-02-28
5263,7837,71221,,0,2011-03-15
5265,71225,15390,,0,2011-03-15
5266,71239,43453,,0,2011-03-15
5267,20972,7942,,0,2011-03-16
5268,475,71303,,34400000,2011-03-16
5269,45598,71306,,0,2011-03-16
5270,6764,71336,,0,2011-03-17
5271,71396,71397,cash_and_stock,11600000,2011-03-17
5272,149,71408,,0,2011-03-17
5273,1812,71487,,0,2011-03-18
5274,5,50206,stock,60000000,2011-09-17
5275,590,4498,,39000000000,2011-03-20
5276,1438,5406,cash_and_stock,333000000,2011-03-21
5277,17124,16189,,313000000,2011-03-21
5278,42502,43608,cash_and_stock,525000000,2011-03-21
5279,48252,27549,,0,2011-03-18
5280,26139,29149,,0,2011-02-08
5281,35739,71683,,0,2011-03-21
5283,56939,71563,cash,23250000,2005-02-06
5284,3246,24215,,0,2011-04-14
5285,71770,71772,,0,2011-03-22
5286,71774,20172,,0,2011-03-22
5287,71779,71778,,0,2011-03-22
5288,71789,71788,,0,2011-03-22
5289,25821,71809,,0,2011-03-15
5290,53824,71672,cash,0,2011-02-28
5291,64703,71792,,0,2011-03-23
5292,14236,12173,,0,2011-03-23
5293,1579,17596,,0,2011-03-23
5294,71853,29445,,0,2011-03-14
5295,57857,71855,,0,2011-03-10
5296,71870,71868,,0,2011-03-07
5297,28787,71871,,0,2011-02-23
5298,18081,45090,,0,2011-03-23
5299,71878,71879,,0,2011-03-23
5300,71471,71474,cash,0,2010-12-01
5302,68638,23424,,0,2011-03-24
5303,31041,71970,,0,2011-03-24
5304,68638,25341,,0,2011-03-24
5305,57086,71975,,0,2011-03-24
5306,70520,13389,,409000000,2011-03-24
5307,64176,22367,,0,2011-03-24
5308,35053,15882,cash,10000,2009-09-01
5309,5229,72140,,0,2011-03-26
5310,72156,72162,,0,2011-03-28
5311,42484,72169,,0,2011-03-28
5312,20,28712,,2400000000,2011-06-20
